"Hospital, Address, Telephone, Administrator, Approval and Facility Codes",control,service,stay,beds,admissions,census,bassinets,births,census_2,total,payroll,personnel,city,county
"Block Chandler Hospital-Hwy 31 N-Zip 36540-Tel 773-2503-Mary L Gray, RN A 9 F 1 2 3 6 9 11 12 14 15 16 18 29 34",33,10,S,70,2515,45,8,125,1,822,281,106,HARTSELLE,MORGAN COUNTY
"*Hartselle Hospital-401 N Sparkman St-Zip 35640-Tel 773-2521-Orval P Sparkman, Adm & Owner A 1 9 F 1 2 3 6 8 9 12 14 15 18 29 33",33,10,S,58,3221,50,10,279,2,844,258,102,HARTSELLE,MORGAN COUNTY
"*Cleburne Hospital-Box 398-Zip 36264-Tel 463-2121-Gilbert H Taylor, Adm A 9 F 1 2 9 12 14 15 16 18 22 23 29",13,10,S,30,973,18,12,55,-,198,98,50,HEFLIN,CLEBURNE COUNTY
"Crestwood Hospital-4411 Mcallister Dr NSW-Zip 35801-Tel 837-0300-S Millard Johnson, Adm",32,10,S,-,-,-,-,-,-,-,-,-,HUNTSVILLE,MADISON COUNTY
"*Fifth Avenue General Hospital-107 Governors Dr SW-Zip 35801-Tel 359-2271-Nell Lackey, Adm A 9 F 2 12 14 18 29 33",33,10,S,42,2231,38,-,-,-,512,230,71,HUNTSVILLE,MADISON COUNTY
"*Huntsville Hospital-101 Sivley Rd-Zip 35801-Tel 539-9411-L C Rigsby, Adm A 1 9 F 1 2 3 5 6 9 10 12 14 15 16 18 19 21 22 23 24 27 34",14,10,S,299,15322,258,54,3604,35,3590,2336,716,HUNTSVILLE,MADISON COUNTY
U S Army Hospital-See Redstone Arsenal,14,10,S,3,-,-,-,-,-,-,-,-,HUNTSVILLE,MADISON COUNTY
"*Jackson Hospital-Box 518-Zip 36545-Tel 246-2407-Leo Earl DuBose, Adm A 9 F 1 2 12 14 15 18 33",14,10,S,30,1399,19,10,221,-,279,154,46,JACKSON,CLARKE COUNTY
"*Jasper Community Hospital-1100 7th Ave-Tel FU 4-6071-Jim R Rutledge, Adm",23,10,S,-,-,-,-,-,-,-,-,-,JASPER,WALKER COUNTY
"*Peoples Hospital-E 19th St Box 684-Zip 35501-Tel 384-4531-Chester M Black, Adm F 1 2 3 4 8 9 11 12 14 15 16 18 22 23",13,10,S,117,5849,84,20,852,7,784,423,191,JASPER,WALKER COUNTY
"Batson Memorial Sanatorium-Rte 2-Zip 36862-Tel 864-4161-Mae C Gilliland RN, Supt F 1 4 29 33",12,33,L,75,65,59,-,-,-,147,108,25,LAFAYETTE,CHAMBERS COUNTY
"Chambers County Hospital-404 9th Ave SW-Zip 36862-Tel 864-2481-Charles Cumbee, Adm A 9 F 2 9 11 12 14 15 16 18 23",13,10,S,35,1344,27,12,146,-,249,143,69,LAFAYETTE,CHAMBERS COUNTY
