"Hospital, Address, Telephone, Administrator, Approval and Facility Codes",control,service,stay,beds,admissions,census,bassinets,births,census_2,total,payroll,personnel,city,county
"*Jefferson Tuberculosis Sanatorium-3800 Ridgeway Dr-Zip 35209-Tel 871-7331-Arthur J Viehman MD, Supt & Med Dir A 1 F 2 5 14 17 18 20 29 34",23,33,L,225,410,207,,,,521,241,116,BIRMINGHAM,JEFFERSON
"*St Vincent Hospital-2701 9th Ct S-Zip 35205-Tel 251-9111-Sister Carlos RN, Adm A1 4 6 9 F1 2 3 4 6 9 11 12 14 15 16 18 19 20 22 23 33",21,10,S,192,8301,175,33,1314,18,2908,1463,438,Birmingham,Jefferson
"*Salvation Army Home And Hospital-1101 Montevallo Rd SW Box 3737 West End Station-Zip 35211-Tel 322-4517-Capt William K Matthews, Supt F 15 23",21,44,S,6,149,5,10,131,3,100,43,18,Birmingham,Jefferson
"*South Highlands Infirmary-1127 S 12th St-Zip 35205-Tel 251-0121-Willis S Thrash, Adm A1 9 F1 2 3 6 12 14 15 16 18 23 33",33,10,S,213,8198,187,36,1053,14,2156,1097,358,Birmingham,Jefferson
"*University Of Alabama Hospitals And Clinics-619 S 19th St-Zip 35233-Tel 323-8811-Matthew F McNulty Jr, Gen Dir A1 2 3 4 5 6 9 F1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 24 25 26 27 28 33",12,10,S,646,22311,547,90,3516,29,10183,6076,1782,Birmingham,Jefferson
"*Veterans Administration Hospital-700 S 19th St-Zip 35233-Tel 324-6581-Clyde G Cox, Dir A1 2 3 5 F1 2 3 4 5 6 7 8 10 11 12 14 16 17 18 19 20 21 22 23 24 29",45,10,S,479,5989,439,-,-,-,5718,4582,660,Birmingham,Jefferson
"*Boaz-Albertville Hospital-New Boaz Hwy 431 Box 338-Zip 35957-Tel 593-4271-Paul M Hodgens, Adm A1 9 F1 2 6 8 9 12 14 15 18 22 24 29 33",13,10,S,60,3199,47,15,435,3,660,336,102,Boaz,Marshall
"*D W McMillan Memorial Hospital-Belleville Ave Box 126-Zip 36426-Tel 867-6081-Billy J Griffin, Adm A1 9 F2 12 14 15 16 18 23 29",13,10,S,55,3352,43,16,345,3,437,217,83,Brewton,Escambia
"*North Jackson Hospital-Rte 1-Zip 35740-Tel 437-2288-John D Foster, Adm A1 9 F2 12 14 15 18 22 31",13,10,S,40,1590,27,8,139,1,283,126,56,Bridgeport,Jackson
"*Choctaw General Hospital-Hwy 10 E-Zip 36904-Tel 459-2461 Walter J Friday, Adm A 9 F 1 2 8 9 12 14 15 16 18 22 23 29 33",13,10,S,65,2881,53,12,268,2,645,274,96,Butler,Choctaw
"*Cherokee County Hospital-877 Cedar Bluff Rd-Zip 35960-Tel 927-5531-C C Jimmerson, Adm A9 F2 9 12 14 15 18",13,10,S,40,1852,27,7,206,1,538,270,89,Centre,Cherokee
"Bibb County Hospital-Pierson Ave-Zip 35042-Tel 926-2281-WT Steele, Adm A 9 F1 2 3 4 11 12 14 15 16 18 20 22 23 29",13,10,S,33,774,12,4,69,-,156,100,47,Centreville,Bibb
"*Washington County Hospital-St Stephens Ave-Zip 36518-Tel 847-2911-Hiller Dickerson, Adm A9 -NonReporting-",13,10,S,-,-,-,-,-,-,-,-,-,Chatom,Washington
"*Chilton County Hospital-Lay Dam Rd Box 229-Zip 35045-Tel 755-2500-Charles R Jones, Adm A9 F2 9 12 14 15 18 22 23",13,10,S,49,2455,31,11,430,2,-,-,138,Clanton,Chilton
"*Cullman County Hospital-300 N 4th Ave E-Zip 35055-Tel 734-1210-Clay B Hurley, Adm A9 F2 6 9 12 14 15 16 18 22 23",15,10,S,109,4144,88,21,836,6,977,568,201,Cullman,Cullman
"*East Tallapoosa Hospital-Box 698-Tel 825-4224-Van B Taunton, Gen Mgr F1 2 5 6 11 12 14 15 18 23 29 33",13,10,S,25,794,12,5,78,-,127,71,26,Dadeville,Tallapoosa
"*Bank Street Hospital-619 Bank St-Zip 35601-Tel 353-4342 Robert E Wells, Adm A 9 -Non Reporting-",33,10,S,-,-,-,-,-,-,-,-,-,Decatur,Morgan
"*Baugh-Wiley-Smith Hospital-222 Gordon Dr-Zip 35602-Tel 353-1251-WE Moore, Adm F2 9 11 14 15 18 33",33,10,S,59,2444,40,10,320,2,553,236,102,Decatur,Morgan
"*Decatur General Hospital-120 Somerville Rd-Zip 35601-Tel 353-1610-Ray J Guier, Adm A1 9 F1 2 3 9 12 14 15 16 18 23 33",15,10,S,105,5293,114,20,965,14,1176,662,201,Decatur,Morgan
"*District Number 1 Tuberculosis Sanatorium-Rte 4-Tel 353-9433-M F Henley, Adm A1 F 1 2 5 11 12 14 16 17 18 20 22 23 29",16,33,L,184,339,182,-,-,-,463,218,109,Decatur,Morgan
"*Bryan W Whitfield Memorial Hospital-Hwy 80 Box 890 Zip 36732-Tel 1070-H R Willers RN, Adm A9 F2 9 10 12 14 15 16 18 22 29 33",14,10,S,74,2579,48,13,384,2,570,262,101,Demopolis,Marengo
"Flowers Hospital-409 W Main St-Zip 36301-Tel 794-3191-Lilla Garner RN, Adm A9 F1 2 8 9 12 14 15 16 18 33",33,10,S,76,4231,65,14,332,3,742,246,100,Dothan,Houston
"Moody Hospital-311 N Alice St-Zip 36301-Tel SY 2-2125-Kathryn S Webb RN, Adm A 9 - Non Reporting -",23,10,S,-,-,-,-,-,-,-,-,-,Dothan,Houston
"*Southeast Alabama General Hospital-Hwy 84 E Box 2007-Zip 36302-Tel 794-3131-Dean H Byrd Sr, Adm A1 9 F1 2 3 5 6 8 9 12 14 15 16 18 20 29 33",13,10,S,111,5419,93,20,752,7,1325,671,216,Dothan,Houston
"*Community Hospital-100 Freeman Ave-Zip 36023-Tel 283-2725-Herman L Harris, Gen Mgr A9 F2 12 14 15 18 33",23,10,S,44,1884,29,15,144,1,396,206,57,East Tallassee,Tallapoosa
"*Elba General Hospital-Smith St Box 427-Zip 36323-James Melvin Pierce Jr, Adm A9 -Non Reporting-",14,10,S,-,-,-,-,-,-,-,-,-,Elba,Coffee
"*Enterprise Hospital-Zip 36330-Tel 347-9541-Maj Lon G Thomas, Adm A 9 -Newly Registered-",14,10,S,-,-,-,-,-,-,-,-,-,Enterprise,Coffee
"*Gibson Hospital-400 N Edwards St-Zip 36330-Tel 347-2233-J Frank Bynum, Adm A 9 F1 2 9 12 14 15 18 33",23,10,S,81,3398,46,10,361,2,-,-,99,Enterprise,Coffee
"*Barbour County Hospital-Washington & Macon Sts-Zip 36027-Tel 687-2091-Howard L Mosley, Adm A 9 F2 9 12 14 15 16 18 33",13,10,S,54,2518,47,15,253,2,429,230,93,Eufaula,Barbour
"Greene County Hospital-509 Wilson Ave-Zip 35462-Tel 372-3163-D B Patton Jr, Adm A 9 -Non Reporting-",13,10,S,-,-,-,-,-,-,-,-,-,Eutaw,Greene
"*Conecuh County Hospital-S Main St-Zip 36401-Tel 578-2480-Jack Hethcox, Adm A 9 F 2 9 12 14 15 16 18 33",13,10,S,35,1467,25,9,120,1,291,154,55,Evergreen,Conecuh
"*Lloyd Noland Hospital-Box 538-Zip 35064-Tel 785-2121-Ralph W Wadeson, Adm A1 2 3 4 9 F1 2 3 5 6 8 9 11 12 14 15 16 18 19 21 22 23 27",23,10,S,310,10112,228,32,659,11,3833,2437,584,Fairfield,Jefferson
"*Thomas Hospital-Morphy Ave-Zip 36532-Tel 928-2375-Claud Clark Jr, Adm A 9 F 2 12 14 15 16 18 22 23 33 34",13,10,S,36,1786,28,12,206,1,353,172,61,FAIRHOPE,BALDWIN COUNTY
"*Fayette County Hospital-Hwy 43 N-Zip 35555-Tel 932-5966-Robert H Boone, Adm A 1 9 A 19 F 1 2 9 12 14 15 16 18 23",13,10,S,35,1996,30,8,220,2,-,-,72,FAYETTE,FAYETTE COUNTY
"*Florala Memorial Hospital-E 5th Ave At 5th & 6th Sts Box 206-Zip 36442-Tel 8-3731-J W Bancroft, Adm A 9 F 2 12 14 15 18 22 33",23,10,S,23,819,11,9,86,-,-,-,33,FLORALA,COVINGTON COUNTY
"*Eliza Coffee Memorial Hospital-600 W Alabama St-Zip 35631-Tel 764-8321-R C Barnes, Gen Mgr A 1 9 F 1 2 3 6 9 12 14 15 16 18 19 21 22 23 24 26 27",15,10,S,239,11662,198,41,1659,21,2564,1123,461,FLORENCE,LAUDERDALE COUNTY
"*South Baldwin Hospital-1521 N McKenzie St-Zip 35365-Tel 943-8711-George C Schneider, Adm A 9 F 1 2 9 12 14 15 16 18 22 23 29 33",13,10,S,54,2055,27,10,281,2,415,216,73,FOLEY,BALDWIN COUNTY
"*Noble Army Hospital-Zip 36205-Tel 238-3861-Lt Col Warren S P Henderson MC, CO A 1 F 1 2 3 4 5 6 7 8 9 10 11 12 14 15 16 17 18 20 22 24 25 28 29 33",42,10,S,75,2065,48,14,257,-,-,-,217,FORT MCCLELLAN,CALHOUN COUNTY
"*De Kalb County General Hospital-1400 Forrest Ave N-Tel 845-3150-Clayton Smith, Adm 1 9 F 1 2 5 9 12 14 15 16 18 23",13,10,S,82,2786,51,13,538,5,649,423,166,FORT PAYNE,DE KALB COUNTY
"*U S Army Hospital-Zip 36362-Tel 2316-Col Richard B Austin III, MC, CO F 1 2 3 5 6 8 9 11 12 14 15 16 17 18 20 22 23 28 29 33 35",42,10,S,100,3422,49,17,596,-,-,-,310,FORT RUCKER,DALE COUNTY
*Baptist Memorial Hospital-1007 Goodyear Ave-Zip 35903-Tel 492-1240-J Cecil Hamiter Adm A 1 9 F 1 2 3 5 6 8 9 12 14 15 16 18 19 20 21 23 33,21,10,S,188,6994,127,20,801,12,1923,968,358,GADSDEN,ETOWAH COUNTY
"*District 4 Tuberculosis Hospital-3001 Scenic Hwy-Zip 35901-Tel 546-9266-Harry E Gauntt, Adm A 1 F 2 5 14 16 18 20 29",16,33,L,153,246,140,-,-,-,366,228,78,GADSDEN,ETOWAH COUNTY
"*Holy Name Of Jesus Hospital-Moragne Park-Zip 35902-Tel 547-4911-Sister Mary Of The Precious Blood RN, Supt A 1 6 9 F 1 2 3 4 6 8 12 14 15 16 18 20 21 23 27",21,10,S,177,7134,149,20,759,8,-,-,414,GADSDEN,ETOWAH COUNTY
"*Wiregrass Hospital-1200 W Maple Ave-Zip 36340-Tel 684-2222-W C Kingsbery, Adm A 9 F 2 5 9 12 14 15 18 23 33",13,10,S,50,2134,39,8,199,1,411,201,75,GENEVA,GENEVA COUNTY
"*Georgiana Hospital-Jones & Miranda St-Tel 376-2205-K L Hollis MD, Adm A 9 F 1 2 6 8 9 10 11 12 14 15 16 18 19 29 33 - Data For 242 Days",14,10,S,17,348,6,4,16,-,117,58,32,GEORGIANA,BUTLER COUNTY
"*Longview General Hospital-1100 Bankhead Hwy SW-Tel 674-9422-Ann Downey Morgan, Adm A 9 F 1 2 3 6 9 11 12 14 15 16 18 19 24 29 33",33,10,S,28,920,17,5,84,1,-,-,40,GRAYSVILLE,JEFFERSON COUNTY
"Hale County Hospital-1st & Greene Sts-Zip 36744-Tel 624-2661-Robert H Cochrane Jr MD, Adm A 9 F 2 12 14 15 16 18 23 33",13,10,S,28,741,15,7,98,-,186,92,39,GREENSBORO,HALE COUNTY
"*L V Stabler Memorial Hospital-424 Oak St-Zip 36037-Tel 382-3119-William B McGehee, Adm A 1 9 F 1 2 9 12 14 15 18 33",23,10,S,75,2510,46,10,211,2,482,246,90,GREENVILLE,BUTLER COUNTY
"*Grove Hill Municipal Hospital-Hospital St Box 577-Zip 36451-Tel 275-3237-W E Wosnig, Adm A 9 F 2 14 15 18 29",14,10,S,30,1000,17,8,94,-,185,99,34,GROVE HILL,CLARKE COUNTY
"*Guin Hospital-Zip 35563-Tel 468-3353-G S Davis, Adm A 9 -Non Reporting",13,10,S,-,-,-,-,-,-,-,-,-,GUIN,MARION COUNTY
"*Guntersville Hospital-2067 Dunlap Ave Box 426-Zip 35976-Tel 582-5671-Jearold P Horton, Adm A 1 9 F 1 2 6 9 10 12 14 15 16 18 23 29 33",13,10,S,60,2670,43,14,381,3,537,272,100,GUNTERSVILLE,MARSHALL COUNTY
"*Lister Hill Hospital-1315 Military St S-Zip 35570-Tel 921-2125-G S Davis, Adm A 9 F 1 2 9 11 12 14 15 16 18 29 33",13,10,S,37,1260,20,12,66,-,401,221,62,HAMILTON,MARION COUNTY
"Block Chandler Hospital-Hwy 31 N-Zip 36540-Tel 773-2503-Mary L Gray, RN A 9 F 1 2 3 6 9 11 12 14 15 16 18 29 34",33,10,S,70,2515,45,8,125,1,822,281,106,HARTSELLE,MORGAN COUNTY
"*Hartselle Hospital-401 N Sparkman St-Zip 35640-Tel 773-2521-Orval P Sparkman, Adm & Owner A 1 9 F 1 2 3 6 8 9 12 14 15 18 29 33",33,10,S,58,3221,50,10,279,2,844,258,102,HARTSELLE,MORGAN COUNTY
"*Cleburne Hospital-Box 398-Zip 36264-Tel 463-2121-Gilbert H Taylor, Adm A 9 F 1 2 9 12 14 15 16 18 22 23 29",13,10,S,30,973,18,12,55,-,198,98,50,HEFLIN,CLEBURNE COUNTY
"Crestwood Hospital-4411 Mcallister Dr NSW-Zip 35801-Tel 837-0300-S Millard Johnson, Adm",32,10,S,-,-,-,-,-,-,-,-,-,HUNTSVILLE,MADISON COUNTY
"*Fifth Avenue General Hospital-107 Governors Dr SW-Zip 35801-Tel 359-2271-Nell Lackey, Adm A 9 F 2 12 14 18 29 33",33,10,S,42,2231,38,-,-,-,512,230,71,HUNTSVILLE,MADISON COUNTY
"*Huntsville Hospital-101 Sivley Rd-Zip 35801-Tel 539-9411-L C Rigsby, Adm A 1 9 F 1 2 3 5 6 9 10 12 14 15 16 18 19 21 22 23 24 27 34",14,10,S,299,15322,258,54,3604,35,3590,2336,716,HUNTSVILLE,MADISON COUNTY
U S Army Hospital-See Redstone Arsenal,14,10,S,3,-,-,-,-,-,-,-,-,HUNTSVILLE,MADISON COUNTY
"*Jackson Hospital-Box 518-Zip 36545-Tel 246-2407-Leo Earl DuBose, Adm A 9 F 1 2 12 14 15 18 33",14,10,S,30,1399,19,10,221,-,279,154,46,JACKSON,CLARKE COUNTY
"*Jasper Community Hospital-1100 7th Ave-Tel FU 4-6071-Jim R Rutledge, Adm",23,10,S,-,-,-,-,-,-,-,-,-,JASPER,WALKER COUNTY
"*Peoples Hospital-E 19th St Box 684-Zip 35501-Tel 384-4531-Chester M Black, Adm F 1 2 3 4 8 9 11 12 14 15 16 18 22 23",13,10,S,117,5849,84,20,852,7,784,423,191,JASPER,WALKER COUNTY
"Batson Memorial Sanatorium-Rte 2-Zip 36862-Tel 864-4161-Mae C Gilliland RN, Supt F 1 4 29 33",12,33,L,75,65,59,-,-,-,147,108,25,LAFAYETTE,CHAMBERS COUNTY
"Chambers County Hospital-404 9th Ave SW-Zip 36862-Tel 864-2481-Charles Cumbee, Adm A 9 F 2 9 11 12 14 15 16 18 23",13,10,S,35,1344,27,12,146,-,249,143,69,LAFAYETTE,CHAMBERS COUNTY
"*George H Lanier Memorial Hospital-4800 48th St-Zip 36864-Tel 756-3111-Harold W Steadham, Adm A1 29 F1 23468912141516181927",23,10,S,110,4862,74,24,453,5,866,530,209,LANGDALE,CHAMBERS
"*Leeds Hospital-Hwy 78 W-Zip 35094-Mailing Address Box 456-Tel 726-2001-Edward L Goodson, Adm A9 F2 9111214151618",33,10,S,48,2028,40,8,131,1,398,233,87,LEEDS,JEFFERSON
"D E Jackson's Hospital-Zip 35647-Tel 232-1218-Betty K Harrison, Adm A 9 F 2 91112 141518222933",31,10,S,16,506,9,5,19,-,67,52,14,LESTER,LIMESTONE
*Crenshaw County Hospital-Brantley Hwy Drawer 432-Zip 36049-Tel 335-4800-M D Plowden Adm A9 F2 5121415161823242933,13,10,S,33,1154,19,11,56,-,195,93,44,LUVERNE,CRENSHAW
"*Perry County Hospital-Lafayette St-Tel 683-2741-George B Warren, Adm A9 F3 41112 14151833",13,10,S,46,1096,30,12,88,-,344,149,79,MARION,PERRY
"*Doctors Hospital Of Mobile-1700 Center St-Zip 36604-Tel 438-4551-Thomas Thorpe, Adm A1 9 F1 23456810121416182134",33,10,S,130,5174,102,-,-,-,1772,686,240,MOBILE,MOBILE
"*Mobile General Hospital-850 St Anthony St-Zip 36603-Tel 438-1631-Winston C Whitfield, Adm A1 34569 F1 23569101112141516171819222427282934",13,10,S,247,10162,212,40,2465,31,3422,1792,510,MOBILE,MOBILE
"*Mobile Infirmary-Box 4097-Tel 433-3511-E C Bramlett, Adm A1 69 F1 234678910 121415161819212223242627",23,10,S,492,22387,448,70,2608,36,7067,4130,1099,MOBILE,MOBILE
"*Providence Hospital-1504 Springhill Ave Box 4067-Zip 36604-Tel 433-0541-Sister Andrea, Adm A1 69 F1 2346891012141516181920212223252627",21,10,S,260,11498,238,52,1419,20,-,-,581,MOBILE,MOBILE
"*St Martin De Porres Hospital-704 Virginia St Box 14-Zip 36606-Tel 438-1661-Sister Maria RN, Adm A1 9 F1 23459141516181920212326272933",21,10,S,35,2000,38,10,617,-,552,293,97,MOBILE,MOBILE
"US Air Force Hospital-Brookley AFB-Zip 36615-Tel 438-6011 Ext 5601-Lt Col Anthony Poglisi MC, Dir A1 F2 56911121415182933",41,10,S,35,1531,21,13,323,3,-,-,60,MOBILE,MOBILE
"*Monroe County Hospital-Box 148-Zip 36460-Tel 743-3111-Harold R Pittman, Adm A 9 F1 2389121415182233",13,10,S,35,2129,29,10,309,-,345,176,52,MONROEVILLE,MONROE
"Children's Medical Center-1230 Forest Ave-Tel 262-2908-Ralph A Hiebel, Adm A9 - Non Reporting",23,59,S,-,-,-,-,-,-,-,-,-,MONTGOMERY,MONTGOMERY
"*Jackson Hospital And Clinic-1235 Forest Ave-Zip 36106-Tel 264-5311-Douglas Goode, Adm A1 9 F1 236891112141516181921232426272933",23,10,S,305,6913,143,20,452,6,-,-,356,MONTGOMERY,MONTGOMERY
"Kilby Prison Hospital-Rte 3 Box 115-Tel 265-2341-Sam S Howell, Sr Med Asst A1 6 9 - Non Reporting",12,11,S,-,-,-,-,-,-,-,-,-,MONTGOMERY,MONTGOMERY
"*Montgomery Baptist Hospital-2105 E South Blvd Box 6250-Zip 36106-Tel 288-2100-W Taylor Morrow, Adm A1 9 F1 2356910111214151618192022233334",21,10,S,200,5037,103,15,384,5,1705,924,288,MONTGOMERY,MONTGOMERY
"Montgomery Tuberculosis Sanatorium-2140 Upper Wetumpka Rd-Zip 36107-Tel 262-0363-Charles C Watson, Adm F 2 51114161718 20 23 29",13,33,L,144,217,140,-,-,-,362,199,80,MONTGOMERY,MONTGOMERY
"*Professional Center Hospital-219 Church St-Zip 36104-Tel 263-7541-J A Bohannon, Adm Al 9 F2 35691214151618",33,10,S,66,2409,54,15,269,4,-,-,125,MONTGOMERY,MONTGOMERY
"*St Jude's Catholic Hospital-Includes Father Harold Purcell Memorial For Crippled Children-1918 Fairview Ave-Zip 36108-Tel 265-7011-Sister M Evangelista RN, Adm A1 79 F1 23681415181920232527",21,10,S,165,3502,90,20,1126,6,832,437,205,MONTGOMERY,MONTGOMERY
"*St Margaret's Hospital-Drawer 311-Zip 36101-Tel 265-0211-Sister Scholastica RN, Adm Al 269 F1 23569121415161819202122232627",21,10,S,235,8942,204,30,640,8,-,-,496,MONTGOMERY,MONTGOMERY
"*US Air Force Hospital-Maxwell AFB-Zip 36112-Tel 265-5621 Ext 7801-Col E H Underwood Jr, MC, CO Al 29 F1 234567891011121415161718192021222527",41,10,S,225,5813,184,17,655,9,-,-,640,MONTGOMERY,MONTGOMERY
"*Veterans Administration Hospital-Perry Hill Rd-Zip 36109-Tel 272-4670-Walter R Armstrong Jr, Dir A1 F1 2 3 5 6 7 8 12 14 16 17 18 20 22 23 25 29 33",45,10,S,285,3792,240,-,-,-,2700,2274,320,MONTGOMERY,MONTGOMERY
"Searcy Hospital-Box 23-Zip 36560-Tel 829-2841-Harry S Rowe MD, Asst Supt F2 5712 14151617182324",12,22,L,2525,682,2480,3,4,-,-,-,477,MOUNT VERNON,MOBILE
"*Blount Memorial Hospital-1000 Lincoln Ave-Zip 35121-Tel 274-3511-Mrs Earle M Purdy RN, Adm A9 F2 61214151833",13,10,S,65,2815,57,10,437,3,621,299,128,ONEONTA,BLOUNT
"Doctors Hospital-407 5th Ave-Zip 35121-Tel 274-3581-Ira B Patton MD, Adm A9 - Non Reporting",33,10,S,-,-,-,-,-,-,-,-,-,ONEONTA,BLOUNT
"*Leo County Hospital-2000 Pepperell Pkwy-Zip 36801-Tel 745-4611-Wilton E Stewart, Adm Al 9 F2 691214151618222333",13,10,S,116,4760,69,19,782,8,884,477,178,OPELIKA,LEE
"*Mizell Memorial Hospital-1001 Main St-Zip 36467-Tel 493-3541-Don Nelson, Adm A1 9 F2 121415182333",23,10,S,76,3386,47,9,295,2,534,267,82,OPP,COVINGTON
"Dale County Hospital-510 James St-Zip 36360-Tel 774-5122-Ernest M Beverly, Adm A9 F1 291214151618",13,10,S,50,2240,39,10,263,2,413,211,87,OZARK,DALE
"*Martin Hospital And Clinic-12 N 19th St-Zip 35125-Tel 338-8172-R H Ward, Adm A9 F4 9121415182933",33,10,S,42,1680,33,8,211,1,318,163,53,PELL CITY,ST CLAIR
"*Homer D Cobb Memorial Hospital-1707 21st Ave Box 190-Zip 36867-Tel 298-7811-Clifford E Hamer, Adm A1 9 F1 23691214151618192327",14,10,S,128,6718,118,17,402,3,1484,790,280,PHENIX CITY,RUSSELL
